[2026-04-27 07:30:21] [main] command=postprocess
[2026-04-27 07:30:21] [postprocess] start: input=D:\LEARNING_RESOURCE\AndroidPDS\gitRepository\Android-Privacy-Detection-Software\WEEK_7\src\analyzer\output\run_20260427_001723\平安证券\audit_raw.csv, output=D:\LEARNING_RESOURCE\AndroidPDS\gitRepository\Android-Privacy-Detection-Software\WEEK_7\src\analyzer\output\run_20260427_001723\平安证券\audit_processed.csv
[2026-04-27 07:30:21] [postprocess] processed row 48
[2026-04-27 07:30:21] [postprocess] processed row 49
[2026-04-27 07:30:21] [postprocess] processed row 50
[2026-04-27 07:30:21] [postprocess] processed row 51
[2026-04-27 07:30:21] [postprocess] processed row 52
[2026-04-27 07:30:21] [postprocess] processed row 53
[2026-04-27 07:30:21] [postprocess] processed row 54
[2026-04-27 07:30:21] [postprocess] processed row 55
[2026-04-27 07:30:21] [postprocess] processed row 56
[2026-04-27 07:30:21] [postprocess] processed row 57
[2026-04-27 07:30:21] [postprocess] processed row 58
[2026-04-27 07:30:21] [postprocess] processed row 59
[2026-04-27 07:30:21] [postprocess] processed row 60
[2026-04-27 07:30:21] [postprocess] processed row 61
[2026-04-27 07:30:21] [postprocess] processed row 62
[2026-04-27 07:30:21] [postprocess] processed row 63
[2026-04-27 07:30:21] [postprocess] processed row 64
[2026-04-27 07:30:21] [postprocess] processed row 65
[2026-04-27 07:30:21] [postprocess] processed row 66
[2026-04-27 07:30:21] [postprocess] processed row 67
[2026-04-27 07:30:21] [postprocess] processed row 68
[2026-04-27 07:30:21] [postprocess] processed row 69
[2026-04-27 07:30:21] [postprocess] processed row 70
[2026-04-27 07:30:21] [postprocess] processed row 71
[2026-04-27 07:30:21] [postprocess] processed row 72
[2026-04-27 07:30:21] [postprocess] processed row 73
[2026-04-27 07:30:21] [postprocess] processed row 74
[2026-04-27 07:30:21] [postprocess] processed row 75
[2026-04-27 07:30:21] [postprocess] processed row 76
[2026-04-27 07:30:21] [postprocess] processed row 77
