metric,value
total_sentences,192
keyword_hint_ratio_of_total,0.6354166666666666
pii_related_ratio_of_total,
pii_related_ratio_of_labeled,0.75
jsonl_sentences_loaded,192
audit_rows,20
audit_incorrect_count,10
audit_incomplete_count,0
audit_inconsistent_count,0
