metric,value
total_sentences,347
keyword_hint_ratio_of_total,0.6657060518731989
pii_related_ratio_of_total,
pii_related_ratio_of_labeled,0.6
jsonl_sentences_loaded,347
audit_rows,20
audit_incorrect_count,4
audit_incomplete_count,0
audit_inconsistent_count,0
