label,precision,recall,f1,accuracy,tn,fp,fn,tp
incorrect,0.9090909090909091,0.36496350364963503,0.5208333333333334,0.38666666666666666,8,5,87,50
incomplete,0.8363636363636363,0.38016528925619836,0.5227272727272727,0.44,20,9,75,46
inconsistent,0.0,0.0,0.0,0.6533333333333333,98,0,52,0
