metric,value
total_sentences,347
keyword_hint_ratio_of_total,0.6657060518731989
pii_related_ratio_of_total,0.521613832853026
pii_related_ratio_of_labeled,0.521613832853026
jsonl_sentences_loaded,347
audit_rows,347
audit_right_claim_count,234
audit_method_claim_count,42
audit_app_test_candidate_count,42
