metric,value
total_sentences,323
keyword_hint_ratio_of_total,0.631578947368421
pii_related_ratio_of_total,
pii_related_ratio_of_labeled,0.8
jsonl_sentences_loaded,323
audit_rows,20
audit_incorrect_count,8
audit_incomplete_count,0
audit_inconsistent_count,0
