metric,value
total_sentences,227
keyword_hint_ratio_of_total,0.5991189427312775
pii_related_ratio_of_total,0.5638766519823789
pii_related_ratio_of_labeled,0.5638766519823789
jsonl_sentences_loaded,227
audit_rows,227
audit_right_claim_count,144
audit_method_claim_count,18
audit_app_test_candidate_count,18
