metric,value
total_sentences,2674
keyword_hint_ratio_of_total,0.45774121166791326
pii_related_ratio_of_total,0.34480179506357517
pii_related_ratio_of_labeled,0.34480179506357517
jsonl_sentences_loaded,2674
audit_rows,2674
audit_right_claim_count,826
audit_method_claim_count,213
audit_app_test_candidate_count,207
