metric,value
total_sentences,347
keyword_hint_ratio_of_total,0.6657060518731989
pii_related_ratio_of_total,0.5590778097982709
pii_related_ratio_of_labeled,0.5590778097982709
jsonl_sentences_loaded,347
audit_rows,347
audit_incorrect_count,199
audit_incomplete_count,0
audit_inconsistent_count,0
