metric,value
total_sentences,106
keyword_hint_ratio_of_total,0.839622641509434
pii_related_ratio_of_total,0.49056603773584906
pii_related_ratio_of_labeled,0.49056603773584906
jsonl_sentences_loaded,106
audit_rows,106
audit_incorrect_count,15
audit_incomplete_count,8
audit_inconsistent_count,1
